question,option_a,option_b,option_c,option_d,answer,explanation,why_wrong_a,why_wrong_b,why_wrong_c,why_wrong_d,subject,topic,subtopic,tags
"Which one of the following aspects is an exclusive characteristic of living things?","Isolated metabolic reactions occur in vitro","Increase in mass from inside only","Perception of events happening in the environment and their memory","Increase in mass by accumulation of material both on surface as well as internally","D","Exclusive living characteristics include increase in mass by internal growth as well as external accumulation, unlike non-living objects that mainly gain mass externally.","","","","","Biology","The Living World","Characteristics of life","PYQ; AIPMT Mains 2011; Living vs non-living"
"One of the most important functions of botanical gardens is that","They provide a beautiful area for recreation","One can observe tropical plants there","They allow ex situ conservation of germ plasm","They provide the natural habitat for wild life","C","Botanical gardens serve ex situ conservation of germplasm, maintaining rare and endemic species and providing education about plants.","","","","","Biology","The Living World","Botanical gardens","PYQ; AIPMT 2007; Conservation"
"Species are considered as","Real basic units of classification","The lowest units of classification","Artificial concept of human mind which cannot be defined in absolute terms","Real units of classification devised by taxonomists","A","Species is the basic and real unit of classification — a genetically distinct, reproductively isolated natural population with similar essential morphological traits.","","","","","Biology","The Living World","Species","PYQ; AIPMT 2005; Taxonomy"
"Biosystematics aims at","The classification of organisms based on broad morphological characters","Delimiting various taxa of organisms and establishing their relationships","The classification of organisms based on their evolutionary history and establishing their phylogeny on the totality of various parameters from all fields of studies","Identification and arrangement of organisms on the basis of their cytological characteristics","C","Biosystematics studies identification, nomenclature, classification and evolutionary relationships using anatomy, ecology, physiology, biochemistry and other fields.","","","","","Biology","The Living World","Biosystematics","PYQ; AIPMT 2003; Phylogeny"
"Which of the following is less general in characters as compared to genus?","Species","Division","Class","Family","A","Species is the lowest category in the taxonomic hierarchy and has the most specific (least general) characters compared with genus and higher categories.","","","","","Biology","The Living World","Taxonomic hierarchy","PYQ; AIPMT 2001; Classification"
"The book 'Genera Plantarum' was written by","Engler and Prantl","Bentham and Hooker","Bessey","Hutchinson","B","Genera Plantarum (1862–1883) was written by Bentham and Hooker. Engler and Prantl wrote Die naturlichen pflanzen familien; Hutchinson wrote The Families of Flowering Plants.","","","","","Biology","The Living World","Taxonomic literature","PYQ; AIPMT 1999; Botany history"
"'Taxon' is the unit of a group of","Order","Taxonomy","Species","Genes","B","Taxon refers to any taxonomic group or category in the hierarchy — kingdom, division, class, order, family, genus, species, etc.","","","","","Biology","The Living World","Taxon","PYQ; AIPMT 1996; Taxonomy"
"Linnaeus is credited with","Binomial nomenclature","Theory of biogenesis","Discovery of microscope","Discovery of blood circulation","A","Carolus Linnaeus introduced binomial nomenclature in Systema Naturae (1735) and Species Plantarum (1753), using a generic name and a specific epithet.","","","","","Biology","The Living World","Binomial nomenclature","PYQ; AIPMT 1993; Linnaeus"
"Sequence of taxonomic categories is","Class–Phylum–Tribe–Order–Family–Genus–Species","Division–Class–Family–Tribe–Order–Genus–Species","Division–Class–Order–Family–Tribe–Genus–Species","Phylum–Order–Class–Tribe–Family–Genus–Species","C","The correct hierarchical sequence is: Division (Phylum) → Class → Order → Family → Tribe → Genus → Species.","","","","","Biology","The Living World","Taxonomic hierarchy","PYQ; AIPMT 1992; Classification"
"The term phylum was given by","Cuvier","Haeckel","Theophrastus","Linnaeus","A","The term phylum was given by Cuvier.","","","","","Biology","The Living World","Taxonomic hierarchy","PYQ; AIPMT 1992; Classification"
"A group of plants or animals with similar traits of any rank is","Species","Genus","Order","Taxon","D","A taxon is any group of organisms with similar traits at any taxonomic rank.","","","","","Biology","The Living World","Taxon","PYQ; AIPMT 1992; Taxonomy"
"A taxon is","A group of related families","A group of related species","A type of living organisms","A taxonomic group of any ranking","D","A taxon is a taxonomic group of any rank representing real biological organisms included in a category. The term was coined by Adolf Meyer (1926) for animals and used by H.J. Lam (1948) in plant science.","","","","","Biology","The Living World","Taxon","PYQ; AIPMT 1990; Taxonomy"
"Basic unit or smallest taxon of taxonomy/classification is","Species","Kingdom","Family","Variety","A","Species is the smallest and basic unit of taxonomy — a group of individuals that remain relatively constant in characteristics and do not normally interbreed with other species.","","","","","Biology","The Living World","Species","PYQ; AIPMT 1990; Classification"
"Linnaeus evolved a system of nomenclature called","Mononomial","Vernacular","Binomial","Polynomial","C","Linnaeus developed binomial nomenclature — a two-word scientific naming system with genus and specific epithet.","","","","","Biology","The Living World","Binomial nomenclature","PYQ; AIPMT 1990; Linnaeus"
"The term 'New Systematics' was introduced by","Bentham and Hooker","Linnaeus","Julian Huxley","A.P. de Candolle","C","Julian Huxley (1940) introduced the term New Systematics, integrating cytological, morphological, genetic, anatomical, palynological and physiological characters.","","","","","Biology","The Living World","Biosystematics","PYQ; AIPMT 1988; Systematics"
"Static concept of species was put forward by","de Candolle","Linnaeus","Theophrastus","Darwin","C","Theophrastus is credited with an early static view of plant types based on morphological grouping, before modern evolutionary species concepts developed.","Augustin Pyramus de Candolle was a Swiss botanist who made major contributions to plant taxonomy and introduced the term taxonomy itself, but he did not propose the static species concept.","","Known as the ""Father of Botany,"" this ancient Greek philosopher classified plants based on their growth form (trees, shrubs, sub-shrub, and herbs), long before the formal modern concept of species was structured.","Charles Darwin explicitly opposed the static concept by introducing the dynamic/evolutionary concept of species, proving that species change over time through natural selection and are not immutable.","Biology","The Living World","Species concept","PYQ; AIPMT 1988; History"
