id,question,option_a,option_b,option_c,option_d,answer,explanation,why_wrong_a,why_wrong_b,why_wrong_c,why_wrong_d,subject,topic,subtopic,tags,question_image_url
pearson_living_world_practice_11_6c92fb12,The growth and reproduction are mutually exclusive events in,Plants only,Animals only,Higher animal and plants,Primitive organisms,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_12_b2a8a865,Reproduction cannot be an all-inclusive defining characteristic of living organisms because,All living organism do not show growth.,Many organism do not reproduce.,Non-living things show reproduction.,All living organism show small period of reproductive phase in their life.,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_13_2c5945cc,Living organism shows,Self-replication,Evolution,Self-regulation and response to external stimuli,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_14_1637c45e,The sum total of chemical reactions occurring in our body is called (a) Metabolism (b) Homeostasis (c) Catabolism (d) Anabolism,Metabolism,Homeostasis,Catabolism,Anabolism,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_15_2a07de19,Select the incorrect statement from the following.,only,B and D only,"All living organisms such as from present, past and future are linked to one another by the sharing of the common genetic material but to varying degree.",B and C only,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_16_0610e668,Which of the following statement is incorrect?,"All plants, animals, fungi and microbes exhibit metabolism.",Interactions among the molecular components of the organelles result into the properties of cell organelles.,Properties of cellular organelles are present in the molecular constituents of the organelles.,Cellular organization of the body is the defining feature of life forms.,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_17_d51cfaa1,Properties of organs are,Present in the constituent cells,Due to different cells in them,Due to their similar origin,A result of interactions among the constituent tissues,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_18_c5e0e1eb,Which two points are known as the twin characteristics of growth?,(1) and (2),(1) and (4),(2) and (3),(1) and (3),D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_19_baf5a5ad,Growth by cell division occurs ___ in plants and ___ in animals,"Continuously, only up to a certain age","Only up to a certain age, continuously","Continuously, never","Continuously, continuously",A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_20_55cfca16,Which of the following match is incorrect? Common name Genus Order Class,Man Homo Primata Mammalia,Mango Mangifera Sapindales Dicotyledonae,Housefly Musca Coelopetra Insecta,Wheat Tritium Poales Monocotyledonae,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_21_0074e8cf,Which set of organisms multiply through fragmentation?,"Planaria, hydra, yeast","Echinoderms, fungi, bacteria","Fungi, filamentous algae, protonema of mosses","Amoeba, hydra, virus",C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_22_caa6acc8,Which of the following organism does not reproduce?,Mules,Sterile worker bees,Sterile human couple,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_23_0e1736c9,Which one of the following aspects is an exclusive characteristic of living things?,Isolated metabolic reactions occur in vitro.,Increase in mass from inside only.,Perception of events happening in the environment and their memory.,Increase in mass by accumulation of material both on surface as well as internally.,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_24_20c541f3,Which of the following is self-conscious?,Human being,Tiger,Lion,Frog,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_25_dfbbee82,Metabolic reactions take place,In vitro,In vivo,Both a and b,only in unicellular organisms,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_26_a6997c34,Organisms that can sense and respond to environmental cues,Eukaryotes only,Prokaryotes only,Both a and b,Those with a well-developed neuroendocrine system,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_27_fdf15989,"Growth, development and functioning of living body is due to",Decrease in entropy,Increase in Gibbs-free energy,Metabolism,Adaptations,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_28_a93e0137,A living organism can be exceptionally differentiated from a non-living thing on the basis of its ability for,Reproduction and Excretion,Growth and Movement,Responsiveness to touch and temperature,Interaction with environment and progressive evolution,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_29_fadcd124,Two components of binomial nomenclature are,Generic name,Specific epithet,Both a and b,Subspecies,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_30_f2b95394,"In Mangifera indica Linn, Linn stands for",Latin,Lower organism,Linnaeus,Lamarck,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_31_e06631e3,Alsatian is a breed of,Dog,Cat,Cow,Horse,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_32_289e198f,Modern taxonomy studies require,Knowledge of external and internal structure.,Knowledge of structure of cell.,Knowledge development process and ecological information of organisms.,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_33_2a8e6357,Which of the following term include all other terms?,Classification,Nomenclature,Taxonomy,Systematics,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_34_fd4c654f,Linnaeus evolved a system of nomenclature called,Trinomial,Vernacular,Binomial,Polynomial,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_35_373ac6dd,Binomial nomenclature seems to be difficult because a scientific name is derived from (a) Hindi (b) Sanskrit (c) Latin (d) Arabic,Hindi,Sanskrit,Latin,Arabic,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_36_fcbbd50a,A group of plants or animals with similar traits of any rank is,Species,Order,Genus,Taxon,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_37_8f3c1a18,Binomial nomenclature means,Two names in which one is given by zoologist and other by botanist.,One scientific name consisting of a generic name and a specific epithet.,Two names in which one is latinized and other is french.,Two names in which one is scientific and other is local.,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_38_bd809def,Basic unit of taxonomic hierarchy is,Species,Kingdom,Class,Phylum,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_39_5440ae6f,Botanical name of mango is,Mangifera indica,Solanum tuberosum,Solanum melongena,Panthera leo,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_40_a7f6c624,Botanical name of potato is,Mangifera indica,Solanum tuberosum,Solanum melongena,Panthera leo,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_41_6ab74e4a,Zoological name of lion is,Mangifera indica,Solanum tuberosum,Solanum melongena,Panthera leo,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_42_8995502c,"The branch connected with characterization, nomenclature, identification and classification is",Ecology,Taxonomy,Morphology,Eugenics,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_43_7af8395f,The third name in trinomial nomenclature is,Species,Subgenus,Subspecies,Holotype,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_44_b5393945,In binomial nomenclature,Both genus and species are printed in italics.,Genus and species may be of same name.,Both the initial letters in genus and species is capital.,Genus is written after the species.,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_45_a3ef3d29,"As we go from higher species to kingdom, the number of common characteristic goes on _____.",Increasing,Decreasing,Remains same,None of these,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_46_aa7a52ca,The binomial nomenclature was given by,Lamarck,Ernst Mayr,Carolus Linnaeus,Darwin,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_47_f274623e,The term ‘taxon’ is used for,The ranks of species and genus,The ranks up to phylum,The species epithet only,Any rank of taxonomic hierarchy,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_48_7c27f26b,The taxonomic aid that provides information for the identification of names of species found in an area is,Monograph,Manual,Catalogue,Periodical,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_49_4b8ae900,The Indian Botanical Garden is located in (a) Howrah (b) Lucknow (c) Mumbai (d) Mysore,Howrah,Lucknow,Mumbai,Mysore,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_50_35bf8797,The famous botanical garden 'Kew' is located in,England,Lucknow,America,Australia,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_51_e2414c5c,Identify the correct sequence of taxonomic categories.,Species-order-kingdom-phylum,Species-family-genus-class,Genus-species-order-phylum,Species-genus-order-phylum,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_52_3b4f3f1a,Which biological name is wrongly written?,Apis indica,Triticum aestivum,Felis domesticus,Mangifera indica,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_53_b895d4e7,The descending arrangement of categories is called,Classification,Taxonomy,Hierarchy,Key,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_54_2a8ef9a2,Petunia is a,Variety,Subspecies,Species,Genus,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_55_1ff3a0e9,Which one of the following is not a category?,Species,Class,Phylum,Convolvulaceae,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_56_9d33ca1e,"In the hierarchy of classification, the order is present between",Family and genus,Phylum and kingdom,Family and class,Family and species,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_58_137d5086,The place where we store dry plants for information purpose is called,Key,Museum,Monograph,Herbarium,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_59_c58cea0d,Which is not a part of taxonomic hierarchy?,Genus and species,Order and class,Kingdom and class,Catalogue and herbarium,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_60_93477ca9,Find out the incorrect statement from the following:,Closely related species differ in morphological features.,Genus comprises a group of related species.,"Taxonomic studies are useful in agricultural, forestry and industries.",Notochord and ventral hollow neural system are common features of phylum c,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_61_99f33acd,ICBN stands for,International Code for Biosphere Nomenclature,International Code for Botanical Nomenclature,International Class for Biological Nobel leurette,International Committee for Biological Naming,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_62_f078ecc3,Zoological name of tiger is,Mangifera indica,Solanum tuberosum,Solanum melongena,Panthera tigris,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_63_f7634037,Zoological name of leopard is,Mangifera indica,Solanum tuberosum,Solanum melongena,Panthera pardus,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_64_d3454043,Zoological name of house fly is,Mangifera indica,Solanum tuberosum,Solanum melongena,Musca domestica,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_65_a09e87b3,Zoological name of man is,Mangifera indica,Solanum tuberosum,Solanum melongena,Homo sapiens,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_66_3bcda373,Botanical name of wheat is,Mangifera indica,Solanum tuberosum,Solanum melongena,Triticum aestivum,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_67_bf8fff87,Zoological name of cat is,Mangifera indica,Solanum tuberosum,Solanum melongena,Felis domesticus,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_68_08c62b27,Botanical name of makoi is,Mangifera indica,Solanum tuberosum,Solanum melongena,Solanum nigrum,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_69_02f2c3ac,Potato and brinjal belongs to the genus,Mangifera,Solanum,Allium,Brassica,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_70_29082207,Genera Petunia and Datura belongs to the family,Solanaceae,Fabaceae,Liliaceae,any of the above,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_71_7be3117d,"Select the total number of family from the following: Felis, Felidae, Solanaceae, Liliaceae, Canidae, Hominidae, Poaceae, Muscidae, Insecta, Convolvulaceae",5,6,7,8,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_72_0ca8c2f4,Family Solanaceae and Convolvulaceae belongs to the order,Poales,Polymoniales,Diptera,Dicot,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_73_bdbdfd81,Common features of Chordata are,The presence of notochord in any stage of life,Dorsal hollow neural system,Paired pharyngeal gill slits,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_74_dc009fd2,Which of the following is a common feature of category 'insecta'?,Presence of ostium,Presence of coxal gland for excretion,Three pair of jointed legs in thoracic region,Exoskeleton of cutin,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_75_dfdcb21d,Which of the following represent the family of mango?,Sapindales,Anacardiaceae,Poales,Poaceae,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_76_568d5d14,House fly belongs to the order,Diptera,Carnivora,Primata,Insecta,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_77_0d2dea5a,Which is not required for the preservation of insect?,Collecting,Killing,Pinning,Pressing,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_78_6c9e062f,IBG is situated at,Kew,Howrah,Lucknow,Jodhpur,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_79_ccacf86d,A museum has a collection of,Preserved plants,Preserved animals,Skeleton of animals,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_80_e7fb8a40,Which of the following animals is usually stuffed and preserved?,Large birds,Mammals,Small lizards,Both a and b,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_81_e84d5929,Zoological parks are places for,Wild animals,Pet animals,Wild plants,Endangered crops,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_82_0d25cfcc,Zoological park is a place where,Wild animals are kept in protected environment under human care.,We can learn about wild animal's food habit.,We can learn about wild animal's behavior.,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_83_a5dc9476,The keys are based on contrasting characters generally in pairs called (a) Duplex (b) Couplet (c) Dimer (d) All of these,Duplex,Couplet,Dimer,All of these,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_84_4f3d40a3,Which of the following is incorrect about keys?,Key is a taxonomical aid used for the identification of plants and animals based on the similarities and dissimilarities.,"Separate taxonomic keys are required for each taxonomic category such as family, genus and species for identification purposes.",Keys are generally analytical in nature.,Key is another taxonomical aid used for the nomenclature of plants and animals based on the similarities and dissimilarities.,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_85_b8050312,Which of the following is a mean of recording description?,Flora and manuals,Monographs,Catalogues,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_86_17f06c6c,Flora contains information about the habitat and distribution of,Animals of a given area,Plants of a given area,Some useful plants of a given area,Some useful animals of a given area,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_87_b4ddff92,Monographs contains the information of,genus,species,family,any one taxon,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_88_6acd96d5,Manuals contain information for,Habitat and distribution of animals in a given area,Habitat and distribution of plants in a given area,Identification of names of species found in an area,Habitat and distribution of some useful animals in a given area,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_89_458f56f5,Organisms vary in,Size and colour,Habitat,Physiological and morphological features,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_90_7c6c871a,Live specimens of organisms are found in,Herbaria,Museum,Zoological parks and botanical gardens,All of these,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_91_b5e6d2a1,The name of a plant written on herbarium sheet is its,English name,Local name,Botanical name,All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_92_cf8e9314,NBRI is situated in,Kolkata,Lucknow,Delhi,Jodhpur,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_93_b29bdbbe,Which is the prime source of taxonomical studies?,Collection of actual specimen,Nomenclature,Characterization,Identification,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_94_3529d4d5,"Tiger, dog and cat are placed in order of",Insectivora,Carnivora,Primata,Lagomorpha,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_95_cce73372,"Monkey, gorilla and gibbons belongs to which of the following order and class respectively",Primata and prototheria,Primata and mammaliania,Carnivora and eutheria,Carnivora and mammalia,B,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_96_798b0597,"In plants, the families are characterized on the basis of",Vegetative structures,Reproductive features,Both a and b,None of these,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_98_8cbc320a,Select the incorrect combination: 3. Genus-Musca 4. Phylum-Chordata 5. Family-Anacardiaceae,Fragmentation,"A-4, B-5, C-3, D-1 and 4, E-2",Order,"Genus Fungi, Planaria, Protonema of moss Yeast, hydra and sponges Mammalia, primata, diptera, poales, polymoniales, sapindales Homo, Triticum, Musca, Felis, Panthera, Datura, Petunia, Mangifera, Solanum",C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_99_250a4c07,Select the correct combination:,Earliest classification based on - Uses of various organisms,Reproduction is synonymous with growth - Primitive multicellular organism,ICZN - International Code of Zoo Nomenclature,NBRI - National Botanical Registered Institute,A,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_100_2e7f7d53,Single-horned Rhinoes are found in (a) Ghana (c) Kaziranga National Park (b) Bastar of Madhya Pradesh,Ghana,Bastar of Madhya Pradesh,Kaziranga National Park,Khasi in Meghalaya,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_101_8b4e7bd0,Herbarium sheet provides the information of,Collector's name,Family of plant,"Local, English and botanical name",All of these,D,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_102_36b0486f,"Select the total number of correct statements from the following: 1. Photoperiod affects the reproduction in seasonal breeders, both plants and animals. 2. All organisms handle chemicals entering their bodies. 3. Metabolism is a characteristic feature of all living organisms. 4. In animals, growth is seen only up to a certain age. 5. Non-living object exhibits metabolism. 6. No non-living object is capable of reproducing or replicating by itself.",2,3,4,6,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_practice_103_c98b16cd,"All plants, animals, fungi and microbes exhibit",Reproduction,Growth by increase in mass only,Metabolism,Self-consciousness,C,,,,,,Biology,Living World,Practice,Pearson 2019; Practice,
pearson_living_world_assertion_104_c4a47cb4,Assertion: Systematics is an important branch of biology. Reason: Systematics name the organisms and divides them into groups and subgroups according to the set rules to make their study easy.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_105_d88353a6,"Assertion: Members of a species breed only with others of the same species. Reason: In some cases, members of different species may also breed, producing sterile or fertile offspring.",Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,B,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_106_12c69694,Assertion: No non-living object exhibit metabolism. Reason: Cellular organization is absent in non-living organisms.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_107_f558391f,Assertion: Metabolic reactions can be demonstrated outside the body in cell free systems. Reason: An isolated metabolic reaction performed in test tube is neither living nor non-living.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,B,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_108_b6255464,"Assertion: Conservative characters are more useful in classification. Reason: These characters do not change during evolution. Therefore, their similarities show relationships among organisms.",Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_109_febe512a,Assertion: Linnaeus insisted that the scientific names should be Latinized. Reason: This gives beauty to the names.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,C,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_110_dc92c6ff,Assertion: There is no difference between the terms taxon and category. Reason: Aves is a taxon that includes the category 'birds'.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,D,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_111_7b26ff60,Assertion: Each rank or taxon represents a unit of classification. Reason: Taxonomic categories are distinct biological entities and not merely morphological aggregates.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,B,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_112_9648efdc,Assertion: Human being has self-consciousness. Reason: Human is an organism who is aware of himself.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_113_ead03860,"Assertion: In unicellular organism, the reproduction is synonymous with growth. Reason: Increase in the number of cells is also called growth.",Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_114_9026a495,Assertion: Growth is not taken as a defining property of living organism. Reason: Non living organism can also grow by accumulation of material on their surface.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_115_2a8e9b28,"Assertion: Growth in plant is said to be open. Reason: In plant, growth by cell division occurs throughout their life.",Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_116_45e91b96,Assertion: In Planaria we call regeneration as true regeneration. Reason: A fragmented organism regenerates the lost part of its body and becomes a new organism.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_117_2e5070b9,Assertion: Growth and reproduction is synonymous in amoeba. Reason: Amoeba is unicellular organism.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_118_8ce0ccf6,Assertion: All organisms handle chemicals entering in their bodies. Reason: All organisms are aware of their surroundings.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
pearson_living_world_assertion_119_1f6bbdc5,"Assertion: All living organism present, past and future are linked to one another. Reason: Because all organism sharing common genetic material, but to varying degrees.",Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,A,,,,,,Biology,Living World,Assertion,Assertion-Reason; Pearson 2019,
